id,t1_h,t1_min,t2,t3_h,t3_min,t4_1,t4_2,t5_a,t5_b,t5_c,t5_d,t5_e,t5_f,t5_g,t5_h,t5_i,t5_j,t6,t7,t8,t9
93.00 ,11.00 ,0.00 ,30.00 ,9.00 ,0.00 ,8.00 ,0.00 ,4.00 ,3.00 ,3.00 ,2.00 ,2.00 ,2.00 ,3.00 ,3.00 ,2.00 ,2.00 ,3.00 ,2.00 ,3.00 ,3.00 
94.00 ,11.00 ,5.00 ,5.00 ,8.00 ,50.00 ,8.00 ,6.00 ,5.00 ,4.00 ,3.00 ,2.00 ,3.00 ,4.00 ,5.00 ,3.00 ,2.00 ,5.00 ,3.00 ,2.00 ,3.00 ,4.00 
95.00 ,23.00 ,30.00 ,30.00 ,8.00 ,30.00 ,8.00 ,0.00 ,4.00 ,3.00 ,2.00 ,2.00 ,4.00 ,5.00 ,3.00 ,4.00 ,2.00 ,2.00 ,3.00 ,2.00 ,4.00 ,3.00 
96.00 ,1.00 ,30.00 ,40.00 ,10.00 ,30.00 ,8.00 ,0.00 ,5.00 ,5.00 ,4.00 ,2.00 ,2.00 ,2.00 ,2.00 ,3.00 ,2.00 ,2.00 ,4.00 ,2.00 ,4.00 ,3.00 
97.00 ,12.00 ,0.00 ,150.00 ,9.00 ,4.00 ,7.00 ,18.00 ,2.00 ,2.00 ,3.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,3.00 ,2.00 ,3.00 ,2.00 
98.00 ,3.00 ,0.00 ,15.00 ,14.00 ,0.00 ,10.00 ,0.00 ,3.00 ,5.00 ,5.00 ,5.00 ,2.00 ,2.00 ,3.00 ,2.00 ,2.00 ,2.00 ,4.00 ,2.00 ,3.00 ,3.00 
99.00 ,5.00 ,5.00 ,5.00 ,5.00 ,2.00 ,5.00 ,5.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,2.00 ,2.00 
100.00 ,4.00 ,0.00 ,100.00 ,10.00 ,0.00 ,10.00 ,0.00 ,4.00 ,4.00 ,4.00 ,4.00 ,4.00 ,4.00 ,4.00 ,4.00 ,4.00 ,2.00 ,4.00 ,2.00 ,4.00 ,3.00 
101.00 ,12.00 ,0.00 ,30.00 ,11.00 ,0.00 ,11.00 ,0.00 ,3.00 ,2.00 ,2.00 ,5.00 ,2.00 ,2.00 ,4.00 ,2.00 ,5.00 ,5.00 ,4.00 ,2.00 ,5.00 ,5.00 
102.00 ,10.00 ,10.00 ,10.00 ,10.00 ,10.00 ,10.00 ,10.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,3.00 ,2.00 ,2.00 
103.00 ,10.00 ,0.00 ,5.00 ,6.00 ,0.00 ,8.00 ,0.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 
104.00 ,10.00 ,0.00 ,30.00 ,8.00 ,0.00 ,8.00 ,0.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 
105.00 ,12.00 ,0.00 ,5.00 ,8.00 ,0.00 ,8.00 ,0.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,3.00 ,2.00 ,2.00 ,2.00 
106.00 ,4.00 ,10.00 ,480.00 ,8.00 ,30.00 ,7.00 ,6.00 ,2.00 ,3.00 ,4.00 ,5.00 ,4.00 ,2.00 ,4.00 ,5.00 ,4.00 ,3.00 ,3.00 ,2.00 ,2.00 ,3.00 
107.00 ,10.00 ,30.00 ,30.00 ,9.00 ,0.00 ,10.00 ,0.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,4.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 
108.00 ,11.00 ,30.00 ,30.00 ,7.00 ,30.00 ,7.00 ,0.00 ,4.00 ,4.00 ,3.00 ,2.00 ,5.00 ,4.00 ,2.00 ,2.00 ,2.00 ,2.00 ,3.00 ,3.00 ,2.00 ,2.00 
